"","setdiff(Orig$V1, remain$V1)"
"1100","testassemblies3253"
"1101","testassemblies3254"
"1102","testassemblies3260"
"1103","testassemblies3261"
"1104","testassemblies3262"
"1105","testassemblies3263"
"1106","testassemblies3264"
"1107","testassemblies3265"
"1108","testassemblies3266"
"1109","testassemblies3267"
"1110","testassemblies3268"
"1111","testassemblies3270"
"1112","testassemblies3271"
"1113","testassemblies3272"
"1114","testassemblies3273"
"1115","testassemblies3274"
"1116","testassemblies3275"
"1117","testassemblies3276"
"1118","testassemblies3280"
"1119","testassemblies3281"
"1120","testassemblies3282"
"1121","testassemblies3283"
"1122","testassemblies3284"
"1123","testassemblies3285"
"1124","testassemblies3286"
"1125","testassemblies3287"
"1126","testassemblies3289"
"1127","testassemblies3290"
"1128","testassemblies3291"
"1129","testassemblies3292"
"1130","testassemblies3293"
"1131","testassemblies3294"
"1132","testassemblies3295"
"1133","testassemblies3296"
"1134","testassemblies3297"
"1135","testassemblies3298"
"1136","testassemblies3299"
"1137","testassemblies3300"
"1138","testassemblies3305"
"1139","testassemblies3312"
"1140","testassemblies3313"
"1141","testassemblies3314"
"1142","testassemblies3315"
"1143","testassemblies3318"
"1144","testassemblies3319"
"1145","testassemblies3320"
"1146","testassemblies3321"
"1147","testassemblies3323"
"1148","testassemblies3324"
"1149","testassemblies3325"
"1150","testassemblies3326"
"1151","testassemblies3328"
"1152","testassemblies3329"
"1153","testassemblies3330"
"1154","testassemblies3334"
"1155","testassemblies3335"
"1156","testassemblies3340"
"1157","testassemblies3341"
"1158","testassemblies3342"
"1159","testassemblies3343"
"1160","testassemblies3345"
"1161","testassemblies3346"
"1162","testassemblies3347"
"1163","testassemblies3348"
"1164","testassemblies3349"
"1165","testassemblies3350"
"1166","testassemblies3351"
"1167","testassemblies3352"
"1168","testassemblies3353"
"1169","testassemblies3355"
"1170","testassemblies3356"
